"pacing_score","cognitive_load","avg_drop_off_probability"
6,5,"0.40099910671037503"
6,7,"0.5160865632682898"
7,5,"0.38970313585303856"
7,7,"0.5029769334276571"
8,4,"0.31655407968406657"
8,6,"0.426641731984972"
